driverId,circuitId,lap,statusId,position_lap,driver_name
847,79,1,1,15,George Russell
832,79,35,1,3,Carlos Sainz
839,79,29,1,9,Esteban Ocon
846,11,64,1,7,Lando Norris
839,3,2,26,11,Esteban Ocon
844,13,32,1,5,Charles Leclerc
825,39,32,1,18,Kevin Magnussen
852,3,30,1,14,Yuki Tsunoda
844,6,55,1,4,Charles Leclerc
20,7,34,1,13,Sebastian Vettel
815,24,40,1,4,Sergio Pérez
817,70,55,11,11,Daniel Ricciardo
842,73,46,1,16,Pierre Gasly
815,32,28,1,5,Sergio Pérez
844,34,13,3,1,Charles Leclerc
822,11,1,131,13,Valtteri Bottas
846,70,69,1,5,Lando Norris
4,11,22,11,11,Fernando Alonso
840,1,26,1,6,Lance Stroll
822,6,11,1,10,Valtteri Bottas
830,77,1,1,3,Max Verstappen
855,9,39,1,18,Guanyu Zhou
1,21,10,11,11,Lewis Hamilton
858,11,27,31,17,Logan Sargeant
1,9,18,1,7,Lewis Hamilton
832,9,10,1,2,Carlos Sainz
822,21,2,1,7,Valtteri Bottas
839,69,1,1,20,Esteban Ocon
847,70,1,1,4,George Russell
846,39,23,1,7,Lando Norris
852,4,46,1,8,Yuki Tsunoda
822,22,19,1,15,Valtteri Bottas
822,14,24,11,10,Valtteri Bottas
825,14,41,11,17,Kevin Magnussen
846,70,46,11,11,Lando Norris
1,7,20,1,2,Lewis Hamilton
817,39,41,1,19,Daniel Ricciardo
847,13,25,1,3,George Russell
849,3,31,1,18,Nicholas Latifi
839,79,25,1,9,Esteban Ocon
1,7,56,1,3,Lewis Hamilton
4,6,68,1,2,Fernando Alonso
854,79,44,1,9,Mick Schumacher
852,79,28,1,9,Yuki Tsunoda
856,70,17,11,19,Nyck de Vries
858,9,37,1,13,Logan Sargeant
854,69,39,1,14,Mick Schumacher
822,73,26,11,12,Valtteri Bottas
849,73,34,11,16,Nicholas Latifi
825,3,46,11,15,Kevin Magnussen
832,77,48,1,6,Carlos Sainz
842,1,34,1,14,Pierre Gasly
848,3,46,1,10,Alexander Albon
844,39,39,1,2,Charles Leclerc
840,79,45,1,15,Lance Stroll
852,70,65,11,18,Yuki Tsunoda
1,15,30,1,4,Lewis Hamilton
817,79,20,1,8,Daniel Ricciardo
815,9,46,1,2,Sergio Pérez
839,70,7,1,5,Esteban Ocon
844,11,14,1,5,Charles Leclerc
815,9,40,1,8,Sergio Pérez
839,3,19,1,10,Esteban Ocon
